--------------------------------
address: 127.0.0.1:9919	mode: stream	payload: 256 B	duration: 3m0s	connections: 10000
Connection metrics:
[Conn 103] sent: 23.5 MB, received: 23.2 MB, requests: 91800, responses: 90516 sent/sec: 130.6 kB recv/sec 128.7 kB req/sec: 510 res/sec 502
[Conn 104] sent: 25.2 MB, received: 23.1 MB, requests: 98584, responses: 90308 sent/sec: 140.2 kB recv/sec 128.4 kB req/sec: 547 res/sec 501
[Conn 105] sent: 25.3 MB, received: 23.1 MB, requests: 98712, responses: 90299 sent/sec: 140.4 kB recv/sec 128.4 kB req/sec: 548 res/sec 501
[Conn 106] sent: 23.3 MB, received: 23.2 MB, requests: 91063, responses: 90673 sent/sec: 129.5 kB recv/sec 129.0 kB req/sec: 505 res/sec 503
[Conn 107] sent: 23.5 MB, received: 23.1 MB, requests: 91672, responses: 90201 sent/sec: 130.4 kB recv/sec 128.3 kB req/sec: 509 res/sec 501
[Conn 108] sent: 18.2 MB, received: 15.6 MB, requests: 70935, responses: 60971 sent/sec: 100.9 kB recv/sec 86.7 kB req/sec: 394 res/sec 338
[Conn 109] sent: 23.5 MB, received: 23.1 MB, requests: 91928, responses: 90362 sent/sec: 130.7 kB recv/sec 128.5 kB req/sec: 510 res/sec 502
[Conn 110] sent: 25.4 MB, received: 23.1 MB, requests: 99096, responses: 90391 sent/sec: 140.9 kB recv/sec 128.6 kB req/sec: 550 res/sec 502
[Conn 111] sent: 24.0 MB, received: 23.1 MB, requests: 93592, responses: 90084 sent/sec: 133.1 kB recv/sec 128.1 kB req/sec: 519 res/sec 500
[Conn 112] sent: 23.9 MB, received: 23.1 MB, requests: 93464, responses: 90394 sent/sec: 132.9 kB recv/sec 128.6 kB req/sec: 519 res/sec 502
[Conn 113] sent: 23.5 MB, received: 23.2 MB, requests: 91800, responses: 90624 sent/sec: 130.6 kB recv/sec 128.9 kB req/sec: 510 res/sec 503
[Conn 114] sent: 18.3 MB, received: 15.7 MB, requests: 71498, responses: 61499 sent/sec: 101.7 kB recv/sec 87.5 kB req/sec: 397 res/sec 341
[Conn 115] sent: 8.7 MB, received: 8.7 MB, requests: 34093, responses: 34069 sent/sec: 48.5 kB recv/sec 48.5 kB req/sec: 189 res/sec 189
[Conn 116] sent: 23.4 MB, received: 23.1 MB, requests: 91416, responses: 90212 sent/sec: 130.0 kB recv/sec 128.3 kB req/sec: 507 res/sec 501
[Conn 117] sent: 23.9 MB, received: 23.1 MB, requests: 93208, responses: 90267 sent/sec: 132.6 kB recv/sec 128.4 kB req/sec: 517 res/sec 501
[Conn 118] sent: 23.4 MB, received: 23.1 MB, requests: 91288, responses: 90169 sent/sec: 129.8 kB recv/sec 128.2 kB req/sec: 507 res/sec 500
[Conn 119] sent: 23.5 MB, received: 23.1 MB, requests: 91800, responses: 90178 sent/sec: 130.6 kB recv/sec 128.3 kB req/sec: 510 res/sec 500
[Conn 120] sent: 25.3 MB, received: 23.1 MB, requests: 98712, responses: 90290 sent/sec: 140.4 kB recv/sec 128.4 kB req/sec: 548 res/sec 501
[Conn 121] sent: 24.0 MB, received: 23.1 MB, requests: 93592, responses: 90297 sent/sec: 133.1 kB recv/sec 128.4 kB req/sec: 519 res/sec 501
[Conn 122] sent: 18.1 MB, received: 15.5 MB, requests: 70801, responses: 60620 sent/sec: 100.7 kB recv/sec 86.2 kB req/sec: 393 res/sec 336
[Conn 123] sent: 24.1 MB, received: 23.2 MB, requests: 93976, responses: 90452 sent/sec: 133.7 kB recv/sec 128.6 kB req/sec: 522 res/sec 502
[Conn 124] sent: 23.5 MB, received: 23.1 MB, requests: 91674, responses: 90214 sent/sec: 130.4 kB recv/sec 128.3 kB req/sec: 509 res/sec 501
[Conn 125] sent: 25.2 MB, received: 23.2 MB, requests: 98328, responses: 90613 sent/sec: 139.8 kB recv/sec 128.9 kB req/sec: 546 res/sec 503
[Conn 126] sent: 23.4 MB, received: 23.2 MB, requests: 91544, responses: 90584 sent/sec: 130.2 kB recv/sec 128.8 kB req/sec: 508 res/sec 503
[Conn 127] sent: 18.1 MB, received: 15.7 MB, requests: 70733, responses: 61484 sent/sec: 100.6 kB recv/sec 87.4 kB req/sec: 392 res/sec 341
[Conn 128] sent: 10.5 MB, received: 10.5 MB, requests: 40874, responses: 40871 sent/sec: 58.1 kB recv/sec 58.1 kB req/sec: 227 res/sec 227
[Conn 129] sent: 23.7 MB, received: 23.0 MB, requests: 92440, responses: 89856 sent/sec: 131.5 kB recv/sec 127.8 kB req/sec: 513 res/sec 499
[Conn 130] sent: 18.7 MB, received: 15.8 MB, requests: 73235, responses: 61534 sent/sec: 104.2 kB recv/sec 87.5 kB req/sec: 406 res/sec 341
[Conn 131] sent: 25.3 MB, received: 23.1 MB, requests: 98840, responses: 90328 sent/sec: 140.6 kB recv/sec 128.5 kB req/sec: 549 res/sec 501
[Conn 132] sent: 23.4 MB, received: 23.1 MB, requests: 91544, responses: 90169 sent/sec: 130.2 kB recv/sec 128.2 kB req/sec: 508 res/sec 500
[Conn 133] sent: 25.3 MB, received: 23.0 MB, requests: 98840, responses: 90038 sent/sec: 140.6 kB recv/sec 128.1 kB req/sec: 549 res/sec 500
[Conn 134] sent: 25.4 MB, received: 23.1 MB, requests: 99096, responses: 90143 sent/sec: 140.9 kB recv/sec 128.2 kB req/sec: 550 res/sec 500
[Conn 135] sent: 23.4 MB, received: 23.2 MB, requests: 91416, responses: 90484 sent/sec: 130.0 kB recv/sec 128.7 kB req/sec: 507 res/sec 502
[Conn 136] sent: 25.4 MB, received: 23.0 MB, requests: 99096, responses: 90016 sent/sec: 140.9 kB recv/sec 128.0 kB req/sec: 550 res/sec 500
[Conn 137] sent: 23.4 MB, received: 23.1 MB, requests: 91288, responses: 90230 sent/sec: 129.8 kB recv/sec 128.3 kB req/sec: 507 res/sec 501
[Conn 138] sent: 18.0 MB, received: 15.4 MB, requests: 70242, responses: 60346 sent/sec: 99.9 kB recv/sec 85.8 kB req/sec: 390 res/sec 335
[Conn 139] sent: 23.8 MB, received: 23.1 MB, requests: 92824, responses: 90229 sent/sec: 132.0 kB recv/sec 128.3 kB req/sec: 515 res/sec 501
[Conn 140] sent: 24.0 MB, received: 23.2 MB, requests: 93848, responses: 90596 sent/sec: 133.5 kB recv/sec 128.8 kB req/sec: 521 res/sec 503
[Conn 141] sent: 6.8 MB, received: 6.8 MB, requests: 26642, responses: 26629 sent/sec: 37.9 kB recv/sec 37.9 kB req/sec: 148 res/sec 147
[Conn 142] sent: 25.3 MB, received: 23.1 MB, requests: 98840, responses: 90338 sent/sec: 140.6 kB recv/sec 128.5 kB req/sec: 549 res/sec 501
[Conn 143] sent: 17.9 MB, received: 15.5 MB, requests: 69991, responses: 60622 sent/sec: 99.5 kB recv/sec 86.2 kB req/sec: 388 res/sec 336
[Conn 144] sent: 23.4 MB, received: 23.2 MB, requests: 91544, responses: 90560 sent/sec: 130.2 kB recv/sec 128.8 kB req/sec: 508 res/sec 503
[Conn 145] sent: 25.3 MB, received: 23.2 MB, requests: 98840, responses: 90619 sent/sec: 140.6 kB recv/sec 128.9 kB req/sec: 549 res/sec 503
[Conn 146] sent: 23.3 MB, received: 23.1 MB, requests: 91160, responses: 90174 sent/sec: 129.6 kB recv/sec 128.2 kB req/sec: 506 res/sec 500
[Conn 147] sent: 8.0 MB, received: 8.0 MB, requests: 31365, responses: 31362 sent/sec: 44.6 kB recv/sec 44.6 kB req/sec: 174 res/sec 174
[Conn 148] sent: 23.4 MB, received: 23.1 MB, requests: 91416, responses: 90135 sent/sec: 130.0 kB recv/sec 128.2 kB req/sec: 507 res/sec 500
[Conn 149] sent: 25.4 MB, received: 23.1 MB, requests: 99352, responses: 90066 sent/sec: 141.3 kB recv/sec 128.1 kB req/sec: 551 res/sec 500
[Conn 150] sent: 25.3 MB, received: 23.1 MB, requests: 98712, responses: 90232 sent/sec: 140.4 kB recv/sec 128.3 kB req/sec: 548 res/sec 501
[Conn 151] sent: 23.4 MB, received: 23.1 MB, requests: 91544, responses: 90212 sent/sec: 130.2 kB recv/sec 128.3 kB req/sec: 508 res/sec 501
[Conn 152] sent: 23.9 MB, received: 23.1 MB, requests: 93208, responses: 90048 sent/sec: 132.6 kB recv/sec 128.1 kB req/sec: 517 res/sec 500
[Conn 153] sent: 23.9 MB, received: 23.1 MB, requests: 93464, responses: 90390 sent/sec: 132.9 kB recv/sec 128.6 kB req/sec: 519 res/sec 502
[Conn 154] sent: 23.5 MB, received: 23.1 MB, requests: 91631, responses: 90322 sent/sec: 130.3 kB recv/sec 128.5 kB req/sec: 509 res/sec 501
[Conn 155] sent: 18.1 MB, received: 15.6 MB, requests: 70876, responses: 61066 sent/sec: 100.8 kB recv/sec 86.8 kB req/sec: 393 res/sec 339
[Conn 156] sent: 25.3 MB, received: 23.2 MB, requests: 98968, responses: 90468 sent/sec: 140.8 kB recv/sec 128.7 kB req/sec: 549 res/sec 502
[Conn 157] sent: 23.4 MB, received: 23.1 MB, requests: 91416, responses: 90328 sent/sec: 130.0 kB recv/sec 128.5 kB req/sec: 507 res/sec 501
[Conn 158] sent: 25.3 MB, received: 23.1 MB, requests: 98840, responses: 90208 sent/sec: 140.6 kB recv/sec 128.3 kB req/sec: 549 res/sec 501
[Conn 159] sent: 25.3 MB, received: 23.0 MB, requests: 98840, responses: 90037 sent/sec: 140.6 kB recv/sec 128.1 kB req/sec: 549 res/sec 500
[Conn 160] sent: 25.2 MB, received: 23.0 MB, requests: 98328, responses: 89984 sent/sec: 139.8 kB recv/sec 128.0 kB req/sec: 546 res/sec 499
[Conn 161] sent: 23.5 MB, received: 23.2 MB, requests: 91800, responses: 90450 sent/sec: 130.6 kB recv/sec 128.6 kB req/sec: 510 res/sec 502
[Conn 162] sent: 25.3 MB, received: 23.1 MB, requests: 98968, responses: 90048 sent/sec: 140.8 kB recv/sec 128.1 kB req/sec: 549 res/sec 500
[Conn 163] sent: 23.5 MB, received: 23.2 MB, requests: 91928, responses: 90486 sent/sec: 130.7 kB recv/sec 128.7 kB req/sec: 510 res/sec 502
[Conn 164] sent: 18.0 MB, received: 15.6 MB, requests: 70280, responses: 61036 sent/sec: 100.0 kB recv/sec 86.8 kB req/sec: 390 res/sec 339
[Conn 165] sent: 23.4 MB, received: 23.0 MB, requests: 91544, responses: 90036 sent/sec: 130.2 kB recv/sec 128.1 kB req/sec: 508 res/sec 500
[Conn 166] sent: 17.6 MB, received: 15.4 MB, requests: 68937, responses: 60090 sent/sec: 98.0 kB recv/sec 85.5 kB req/sec: 382 res/sec 333
