--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 100.0 kB	duration: 3m0s	connections: 512
Connection metrics:
[Conn 103] sent: 1.2 GB, received: 1.2 GB, requests: 11853, responses: 11751 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287271ms
[Conn 104] sent: 1.2 GB, received: 1.2 GB, requests: 11853, responses: 11765 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288503ms
[Conn 105] sent: 1.2 GB, received: 1.2 GB, requests: 11837, responses: 11762 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287636ms
[Conn 106] sent: 1.2 GB, received: 1.2 GB, requests: 11856, responses: 11754 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288721ms
[Conn 107] sent: 1.2 GB, received: 1.2 GB, requests: 11851, responses: 11749 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290061ms
[Conn 108] sent: 1.2 GB, received: 1.2 GB, requests: 11852, responses: 11750 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289518ms
[Conn 109] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.28994ms
[Conn 110] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11752 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289581ms
[Conn 111] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289977ms
[Conn 112] sent: 1.2 GB, received: 1.2 GB, requests: 11857, responses: 11755 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290007ms
[Conn 113] sent: 1.2 GB, received: 1.2 GB, requests: 11857, responses: 11755 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289999ms
[Conn 114] sent: 1.2 GB, received: 1.2 GB, requests: 11858, responses: 11756 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.287582ms
[Conn 115] sent: 1.2 GB, received: 1.2 GB, requests: 11854, responses: 11752 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290539ms
[Conn 116] sent: 1.2 GB, received: 1.2 GB, requests: 11837, responses: 11762 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288671ms
[Conn 117] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289055ms
[Conn 118] sent: 1.2 GB, received: 1.2 GB, requests: 11826, responses: 11751 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.290003ms
[Conn 119] sent: 1.2 GB, received: 1.2 GB, requests: 11860, responses: 11758 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288469ms
[Conn 120] sent: 1.2 GB, received: 1.2 GB, requests: 11861, responses: 11759 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.288514ms
[Conn 121] sent: 1.2 GB, received: 1.2 GB, requests: 11865, responses: 11763 sent/sec: 6.6 MB recv/sec 6.5 MB req/sec: 65 res/sec 65 avg-res-time: 15.289071ms
