--------------------------------
address: 127.0.0.1:9919	mode: req-res	payload: 256 B	duration: 3m0s	connections: 1000
Connection metrics:
[Conn 105] sent: 16.5 MB, received: 16.5 MB, requests: 64630, responses: 64629 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783491ms
[Conn 106] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783827ms
[Conn 107] sent: 16.5 MB, received: 16.5 MB, requests: 64622, responses: 64621 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783835ms
[Conn 108] sent: 16.5 MB, received: 16.5 MB, requests: 64621, responses: 64620 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783883ms
[Conn 109] sent: 16.5 MB, received: 16.5 MB, requests: 64626, responses: 64625 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783666ms
[Conn 110] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783715ms
[Conn 111] sent: 16.5 MB, received: 16.5 MB, requests: 64626, responses: 64625 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783665ms
[Conn 112] sent: 16.5 MB, received: 16.5 MB, requests: 64620, responses: 64619 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 358 avg-res-time: 2.783923ms
[Conn 113] sent: 16.5 MB, received: 16.5 MB, requests: 64619, responses: 64618 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 358 res/sec 358 avg-res-time: 2.783964ms
[Conn 114] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783708ms
[Conn 115] sent: 16.5 MB, received: 16.5 MB, requests: 64621, responses: 64620 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783879ms
[Conn 116] sent: 16.5 MB, received: 16.5 MB, requests: 64621, responses: 64620 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783886ms
[Conn 117] sent: 16.5 MB, received: 16.5 MB, requests: 64620, responses: 64619 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 358 avg-res-time: 2.783927ms
[Conn 118] sent: 16.5 MB, received: 16.5 MB, requests: 64624, responses: 64623 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783756ms
[Conn 119] sent: 16.5 MB, received: 16.5 MB, requests: 64619, responses: 64618 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 358 res/sec 358 avg-res-time: 2.783966ms
[Conn 120] sent: 16.5 MB, received: 16.5 MB, requests: 64621, responses: 64620 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783886ms
[Conn 121] sent: 16.5 MB, received: 16.5 MB, requests: 64622, responses: 64621 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783868ms
[Conn 122] sent: 16.5 MB, received: 16.5 MB, requests: 64628, responses: 64627 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783587ms
[Conn 123] sent: 16.5 MB, received: 16.5 MB, requests: 64633, responses: 64632 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783366ms
[Conn 124] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783797ms
[Conn 125] sent: 16.5 MB, received: 16.5 MB, requests: 64621, responses: 64620 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783879ms
[Conn 126] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783798ms
[Conn 127] sent: 16.5 MB, received: 16.5 MB, requests: 64624, responses: 64623 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783753ms
[Conn 128] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783712ms
[Conn 129] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783791ms
[Conn 130] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783713ms
[Conn 131] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.78371ms
[Conn 132] sent: 16.5 MB, received: 16.5 MB, requests: 64621, responses: 64620 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783913ms
[Conn 133] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783795ms
[Conn 134] sent: 16.5 MB, received: 16.5 MB, requests: 64625, responses: 64624 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783702ms
[Conn 135] sent: 16.5 MB, received: 16.5 MB, requests: 64626, responses: 64625 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783663ms
[Conn 136] sent: 16.5 MB, received: 16.5 MB, requests: 64624, responses: 64623 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783756ms
[Conn 137] sent: 16.5 MB, received: 16.5 MB, requests: 64620, responses: 64619 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 358 avg-res-time: 2.783926ms
[Conn 138] sent: 16.5 MB, received: 16.5 MB, requests: 64629, responses: 64628 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783537ms
[Conn 139] sent: 16.5 MB, received: 16.5 MB, requests: 64623, responses: 64622 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783796ms
[Conn 140] sent: 16.5 MB, received: 16.5 MB, requests: 64626, responses: 64625 sent/sec: 91.9 kB recv/sec 91.9 kB req/sec: 359 res/sec 359 avg-res-time: 2.783669ms
